p0	p1	p2	p3	p4	p5	p6	p7	p8	p9	p10	p11	p12	p13	p14	p15	p16	p17	p18	p19	p20	p21	p22	p23	p24	p25	p26	p27	p28	p29	p30	p31	p32	p33	p34	p35	p36	p37	p38	p39	p40	p41	p42	p43	p44	p45	p46	p47	p48	p49	p50	p51	p52	p53	p54	p55	p56	p57	p58	p59	p60	p61	p62	p63
45	45.0181098	45.0493565	45.0337332	45	45.0312467	45.0016576	45	45.0345373	45.5088625	46.3272373	45.8783699	45.0357559	45.8763718	45.090852	45.0107125	45.4731388	46.3276271	46.3358655	45.287713	45.0608116	46.5528708	46.5019065	45.2698018	45.0345373	45.45958	45.0661984	45.0102981	45.0357559	45.8763719	45.090852	45.0107125	45	45.0904253	46.0740863	45.0669902	45	46.0896603	45.910031	45.2706676	45.049771	46.3362922	46.3843685	45.6909536	45.0842836	45.9520026	46.1562608	45.6895267	45.0584115	46.5483992	46.189957	45.7061748	46.302559	46.3547548	46.1468038	45.0838568	45.0275421	45.7265255	45.9417072	45.6952786	45.6862732	45.108925	45.9071945	45.4755348
45	45.1048166	45.1734021	45.0920321	45	45.1228527	45.0116665	45	45.2004989	47.0614097	47.6173519	45.9700615	45.152109	47.1775092	45.3286957	45.0430952	46.9658154	47.7228108	47.6415373	45.606885	45.2144802	47.8364447	47.6413791	45.5575379	45.2004988	46.8893558	45.2712757	45.0409038	45.1521089	47.1775094	45.3286958	45.0430952	45	45.2523776	46.4537439	45.2403077	45	47.367669	46.6787674	45.5467581	45.160762	46.5784857	46.9647221	47.1182532	45.3129021	47.4421437	46.775787	45.8438037	45.8326925	47.7956962	47.7186007	47.2378252	47.3228888	47.7328293	47.5434142	45.292874	45.123596	46.4221235	47.4667875	47.201931	46.4766546	45.4022197	47.1089472	46.1443995
45	45.2591649	45.342698	45.1428975	45	45.2553225	45.0357556	45	45.4984132	48.2877581	48.6782071	45.9558681	45.3366556	48.1405593	45.6599688	45.0940816	48.1351866	48.8204051	48.732884	46.1229768	45.4242492	48.7377182	48.5466326	45.8414779	45.4984129	47.9510646	45.5871537	45.0975146	45.3366555	48.1405595	45.6599689	45.0940816	45	45.3675121	46.1289254	45.4464013	45	48.1002893	46.4939821	45.7604463	45.2951237	46.447529	46.946027	48.1936758	45.6016404	47.7912416	46.7560869	45.786665	46.6785873	48.8180352	49.0459089	48.5382733	47.9261958	48.2832855	48.6403662	45.5673366	45.2695328	46.6698423	48.7793929	48.4704433	46.9022627	45.7888437	48.1042522	46.7496726
45	45.4426593	45.5010006	45.2036506	45	45.3990514	45.0740483	45	45.8547744	49.256022	48.7608338	46.4256759	45.555485	48.8742058	46.0294378	45.1509747	49.0746967	49.870067	49.6231169	46.1615878	45.6641329	49.5493711	49.2842638	45.8978191	45.8547741	48.7715905	45.9525478	45.1617283	45.5554849	48.8742059	46.0294379	45.1509747	45	45.4186785	45.9298005	45.6322944	45	47.3646613	46.3918759	45.6826907	45.4384278	46.4179586	47.0787483	49.0084772	45.8150141	47.4404993	46.7585615	45.7541224	47.3283889	49.0700593	49.96134	49.6407566	47.3365979	47.8943768	47.972557	45.7787671	45.4631993	47.8148896	49.717978	49.5377083	46.5860279	46.0838096	47.5787153	46.5825125
45	45.6307636	45.6610857	45.2715682	45	45.5397344	45.1237152	45	46.2277302	50.0554755	49.8064435	46.5939957	45.7864443	49.4451644	46.4035273	45.2074912	49.8509363	50.8401369	50.3707919	46.281254	45.9124453	50.0649448	49.892749	45.9916655	46.2277299	49.4329763	46.3291176	45.2201267	45.7864442	49.4451644	46.4035274	45.2074913	45	45.4321641	45.8128595	45.7929156	45	46.8573197	46.2876147	45.6118106	45.5507197	46.4447786	47.2880133	49.6421044	45.9191067	47.1613647	46.7024123	45.723283	46.9895792	49.7934098	50.7857886	50.5741257	46.919282	47.5792637	47.4883044	45.8760063	45.6681043	48.7377577	50.5952249	50.4355266	46.3383359	46.2233988	47.1642109	46.4272319
45	45.7894627	45.7870643	45.3277403	45	45.639837	45.1795563	45	46.5462132	50.0860307	49.1491979	46.5278491	45.9819858	49.0774264	46.6830649	45.26296	49.8673164	51.6171432	50.1628966	46.3938886	46.1520785	50.45003	49.1723914	46.0535688	46.5462129	49.3673945	46.6396481	45.2758697	45.9819857	49.0774263	46.6830649	45.2629602	45	45.4239786	45.7498104	45.929097	45	46.4966531	46.1831357	45.5475945	45.6181638	46.5107665	47.5374157	50.1468621	45.9537371	46.929838	46.6130357	45.6891083	46.7959623	50.3430695	51.5553213	51.3710038	46.6113024	47.3106462	47.1222121	45.9030594	45.8172899	48.6642341	51.5833388	51.2056912	46.1419321	46.2658802	46.8342028	46.282721
45	45.9282703	46.522068	45.3900318	45	46.1420024	45.5014594	45.0102858	46.7609097	50.1840177	49.7928399	46.522257	46.1716846	49.3515983	47.8802149	45.3500205	49.3099752	51.9413224	50.5621246	47.0928343	47.1891261	50.7042161	48.6017928	46.0494182	46.7452861	49.016394	47.4738292	45.3736665	46.1544282	48.8850971	46.8316602	45.3085376	45	45.6414725	45.9669593	46.2424354	45	46.2663992	46.5150044	45.7193236	45.7084339	47.216887	48.4314371	50.1346255	46.3812538	47.2241582	46.9828108	45.6854552	47.3111673	50.1784857	52.1605499	50.7580777	46.6462491	48.3692477	47.7289549	46.1418135	46.1425201	48.4262326	50.8446019	50.2863505	46.0026651	46.5103456	46.6193686	46.3789729
45	46.107625	47.7374081	45.5011754	45	46.9825108	46.0745054	45.0493785	46.9004228	50.5702273	50.5583427	46.6378693	46.4045295	49.8991124	49.1273788	45.495412	48.9644074	52.6020546	51.4635768	48.2259318	48.1319195	50.7259185	48.3364521	46.0115293	46.8429021	48.9037535	48.4812815	45.5673006	46.327448	48.5828064	46.8942419	45.339431	45	46.7074386	47.2972287	46.9368645	45	46.2248991	47.6355565	46.5359872	45.8859878	48.256352	50.0405429	50.6660058	47.7562266	48.6385391	48.4256189	45.8049181	48.3744616	51.0404808	52.8601356	51.2096582	46.8048951	49.4626993	48.9001441	46.5856681	46.8643666	48.2732817	50.2933986	49.5901314	45.9731663	48.009021	46.5906043	46.2433083
45	46.2419095	47.343695	45.6075498	45	48.0852156	46.6311878	45.1190057	46.9717375	49.8756882	49.8573327	46.7455832	46.6236236	50.4072385	50.0286849	45.6778572	48.973601	53.0050916	50.7318462	47.7741576	47.7481213	49.9328452	48.2133137	45.9667557	46.8799383	48.4969137	48.1260685	45.7444723	46.429444	47.9571311	46.885421	45.3558313	45	46.5326748	48.5453066	47.3296188	45	46.3618298	48.5150099	47.2106976	46.1253054	48.7283938	51.1524417	51.2067819	48.7820545	49.8421008	49.6261225	46.0488732	49.2422435	51.776267	53.4958876	51.9815848	47.0850629	50.4549734	49.8719352	46.7668474	47.6889735	48.2328382	49.8863172	49.0998297	46.2670621	49.1529857	46.7242788	46.1500315
45	46.2727144	47.0289696	45.6605141	45	48.2845409	46.8933906	45.1996511	47.0012275	49.4007617	49.3009939	46.7575964	46.7705352	50.1851127	49.8507249	45.8383339	49.4109524	52.7815037	50.3981916	47.4464338	47.4715609	49.3468905	48.1060367	45.9259088	46.8988598	48.227845	47.8438388	45.8275089	46.4377082	47.495123	46.8198299	45.3601146	45	46.5113657	49.4610851	47.3132595	45	46.5743758	48.5651572	47.3308557	46.3262104	48.5395559	52.0816216	51.7206699	48.9711591	50.8158275	49.799509	46.296023	49.2697272	51.5382161	54.0389585	52.5619046	47.5930933	50.9489421	50.6409843	46.7532822	47.6820908	48.2138353	49.5872147	48.7621834	46.3616269	50.0295	46.9433686	46.0774098
